Gandalf Index,Maximum Similarity,Closest Training Index
10408,0.1010812017549696,790
10425,0.17076401284827214,14365
3197,0.2149397036261378,12476
12098,0.15450092415909855,6948
3115,0.2337648562179767,4992
14263,0.3398841989829666,8695
657,0.16959464657702117,1338
10200,0.15813657607108067,14171
11223,0.14711449670119137,11609
1873,0.17695135170986176,5859
2577,0.16992965338167498,213
6112,0.17192966957283462,957
491,0.16784191550720373,6344
2616,0.12295223317972992,8992
991,0.16678422008705063,1368
8714,0.19658499615532798,9799
13068,0.10831618466210347,10386
249,0.13980510358574116,15588
8143,0.13109362373423017,1364
8811,0.15592367295079168,8765
6763,0.2214421939278406,10688
10250,0.15215069422189986,15862
15279,0.1920565955273097,9176
3375,0.13422429252672796,9389
14779,0.22349991684623216,15663
14764,0.17675688469096262,2916
4151,0.266911839043368,1867
12894,0.12472021672790912,13139
4565,0.14860733041970653,14719
7779,0.2434685824328231,4888
8496,0.18172729067635873,1035
7903,0.13362063752481834,6849
1061,0.14764822467848704,10884
7574,0.14898262400191364,9288
15052,0.25296534960837547,14148
5677,0.16584401230571744,11306
1390,0.20282518238505753,11401
11462,0.1255052943394226,14506
1174,0.3264256214389727,14947
4703,0.11186012878832774,2146
8157,0.17950614874350423,12885
12840,0.18007294269005747,11217
5424,0.15653358980719267,11831
9399,0.19731185141549468,14536
5021,0.18742477559822612,13030
1575,0.1682748357686844,1341
7493,0.12248010111959562,1629
14241,0.14429284438650825,4314
6379,0.21319678335193792,9369
7219,0.27090564790167493,10558
10064,0.16286890390457676,14892
8863,0.1081827385872488,12646
7869,0.17612130796581482,558
10971,0.12540710673083288,4615
15217,0.13828578913191902,14713
12346,0.26646204824098374,5433
10262,0.19403942064240864,11391
15298,0.1977765990163569,1072
12214,0.2264920855959378,9373
10052,0.1543071859968579,7412
230,0.4482355946707667,11823
288,0.1637859535890167,7541
1407,0.11137887190273321,2168
3562,0.15214533943711073,680
5375,0.17634309980430818,9467
15864,0.09806991614560945,11834
5199,0.15072851363491724,15250
9337,0.16325881898843142,14701
4575,0.1289603625383723,5920
12647,0.18109534993896648,3213
5443,0.14200228940955872,4727
5065,0.16355068912724735,5618
14421,0.16347274604407858,1750
9619,0.18833338159245805,4368
438,0.19190103462503105,2858
4595,0.14131803399896858,11549
15381,0.14936320045419194,2348
7518,0.22266894577848384,2644
9059,0.1805864714654678,11339
6241,0.10390555537679647,619
1635,0.14761968779430834,6482
6159,0.29327982909806893,13536
15168,0.13969894245111525,12638
5337,0.3347325401432313,10443
3565,0.22297570094517938,13568
4988,0.1505611884022946,10734
10970,0.1931783610412734,1432
4157,0.17807478037081803,10219
1649,0.16933722967063303,5793
15313,0.16808852432264354,15896
1476,0.16548292979930512,2195
115,0.26420620174213694,15779
4348,0.18797286971662153,2166
711,0.11483403691605232,13958
5420,0.2523476858779444,10182
14204,0.15536063355073404,6068
15698,0.15859204945162608,3984
3576,0.31280787178872826,9693
4886,0.17437280300354874,15079
9436,0.17831773541332296,10411
14814,0.20311320979269665,729
10810,0.2207422450591503,2802
1832,0.23869375206846954,9125
7606,0.20034047205909977,6909
13725,0.14385206713174248,13050
1676,0.11659959498611328,6515
4571,0.1377657726967746,10705
15766,0.1431295885174113,11271
5721,0.1593690837423548,6368
14640,0.2600923434198881,2486
679,0.14378686174939637,5937
2161,0.09892521230253837,8601
5342,0.1662571118705818,12621
13656,0.13111926917395778,11158
20,0.30552757057639446,6683
12800,0.19065680184380995,3260
1668,0.24971820652283738,5674
1117,0.1412439195821672,9789
6459,0.1749208078137584,1903
4371,0.31231141315401767,2542
10956,0.4457648796716269,8902
9614,0.12183402230316331,6383
9344,0.1701239234213492,14713
13940,0.3291904617628567,12514
8332,0.33743779750782643,14738
8203,0.1649418526575912,14065
8346,0.11683569924772075,11076
11582,0.1831778565112997,12937
4807,0.29277008607088617,13651
15852,0.26103626671582014,2117
5722,0.21218972760659138,11695
683,0.2537278064254016,7852
1708,0.11974350778932996,1871
6794,0.1925153976047378,6383
4835,0.2510332168317688,768
110,0.13150150370749247,1433
14643,0.20216637545799276,12317
15044,0.23469317849400406,56
3810,0.41451762013422955,12596
13629,0.20988651191980323,13689
4544,0.11427212387887031,5661
6175,0.22793280259545368,4263
3413,0.170809740645128,12748
12024,0.1461347266741183,1731
13193,0.10950179375898139,1741
14672,0.14334875829446025,13368
15085,0.16444688470785285,14083
3442,0.20434368901581978,11455
6884,0.20857289691520442,6828
9132,0.1656036458126815,12656
824,0.2139513606745841,5599
6759,0.13634026740238148,4839
3285,0.17944397842310322,3932
2187,0.16452313142692265,8128
14004,0.14344552090096796,11455
15066,0.20366411978133803,9373
9179,0.15084852593819598,476
5382,0.20125018799707517,12434
7178,0.3551946340302732,8949
3185,0.17380049150389987,2316
305,0.17064565221373584,15268
951,0.2722229760882904,2541
1147,0.09945291926842026,13868
14081,0.16298726559662868,10808
12538,0.11230433846781884,12046
6580,0.13251775201690408,15439
9421,0.15348371562612573,6626
5803,0.1815233432585306,7237
7971,0.19422958482605612,8661
12153,0.14872898132864965,3446
10655,0.14179496034009176,11497
2936,0.14810072536151697,6808
7339,0.25318576344741683,3540
14167,0.11601850020602866,4153
1442,0.25116243482602596,12786
3849,0.15004021453226724,7388
11596,0.19035075092636422,6254
4897,0.22544615771998833,11401
4007,0.16402061174540272,15409
7114,0.15227103599653202,11981
1707,0.25509247326933737,4163
8616,0.14212704531481535,13073
11762,0.18634594195552134,14800
3167,0.17451641391564288,12615
2509,0.13787248688694564,4193
8311,0.11005880886580344,11378
5593,0.22012599721872284,10731
10066,0.2693605243871662,12682
5469,0.2220720271995169,10060
5016,0.1480745401776964,351
8864,0.1778556561767557,12189
1546,0.27734051420209194,9945
